root_name,overall_mean
segmenter_x13_x13,28.194948356840843
swint_att_x13,20.59583056800123
swint_x13_x13,21.63707626103339
swint_x13_x13_v2,20.900107197767152
swint_x13_x13_v4,20.33434107601656
swint_x13_x13_v5,20.70326736023235
swint_x13_x13_v6,20.217517385679656
x13,23.859918953824245
x13_x13_convnext,22.923440989588112
x13_x13_swin_torch,21.363744937238142
x13_x13_swin_torch_16,23.642889992158334
x13_x13_swin_torchv2,22.82961555151442
x13_x13_swin_torchv2_16,27.487253344578804
x13_x13_swint,22.627483838934257
x13_x13_swintv2,22.60287187124594
x13_x13_swintv3,22.727573347943384
x13_x13_swintv4,22.74580871112637
x13_x13_swintv5,23.31647052970214
x13t,25.269609045293663
x13t-freeze,26.301447773972775
x13tv2,26.301447773972775
xtranfuser,18.3518710330817
xtranfuserv2,20.69662415928048
xtranfuserv3,20.673499999612986
xtranfuserv4,20.473756406735482
